,mean,max,25%,50%,75%,95%,std
1283C1180,175.54696347031964,559.5999999999999,116.40000000000002,165.75,223.125,312.4049999999999,74.68820943596656
1283C1390,144.0176369863014,540.8,93.60000000000002,131.3,183.3,268.10499999999996,66.7619709357412
1283C1380,150.46400684931507,652.8,94.8,138.50000000000003,192.2,279.1,69.86507047053568
1283C1450,120.27553652968038,596.2,72.6,107.35,153.925,240.3,63.99574691838336
1283C1510,161.06694063926946,740.0,104.80000000000003,149.6,204.2,294.305,72.75141010863463
1283C1230,119.97360730593608,556.3,65.0,102.0,156.10000000000002,268.32499999999965,74.97996785259895
1283C1240,106.70740867579909,554.5,61.7,93.05000000000001,135.02500000000003,229.8,61.68952051473336
1283C1410,177.53046803652967,785.9999999999998,119.1,166.70000000000002,224.52500000000003,312.8099999999999,75.1138596842579
1283C1370,156.53182648401827,582.8000000000001,101.00000000000003,144.9,199.7,289.1149999999998,72.04377980953626
1283C1500,147.01101598173517,531.0,94.2,135.00000000000003,188.2,272.20000000000005,67.90209237223928
1283C1490,159.3563470319635,522.6,104.8,148.4,204.12500000000003,288.205,70.53993752844758
1283C1610,230.8705593607306,648.6999999999998,160.00000000000003,219.20000000000002,290.90000000000003,382.60499999999996,87.13566181222328
1283B2010,199.50268264840182,634.8,134.10000000000002,187.8,253.90000000000003,341.1,80.88606594885766
1283C1310,126.5975114155251,482.7000000000001,79.19999999999999,113.45000000000002,162.70000000000002,248.20499999999998,64.2145853027695
1283C1300,185.97694063926943,608.7,125.9,174.3,235.42500000000004,323.69999999999993,76.7479193455666
1283C1640,176.59044520547945,732.7,118.5,165.9,224.02500000000003,312.20000000000005,74.49299081056043
1283C1420,128.5925114155251,480.3,82.8,116.60000000000002,163.40000000000003,241.3,61.090379526461994
1283C1430,183.16592465753428,597.6,119.0,171.05,233.50000000000003,336.30999999999995,83.06437333431994
1283B5010,137.9794292237443,655.7,86.19999999999999,126.4,175.425,267.5,69.03274753420166
1283B2020,268.4200799086758,750.0,187.9,251.90000000000003,338.125,446.0,99.45146315736243
1283B2030,165.78327625570782,451.1,115.6,154.95000000000002,209.6,283.90000000000003,64.56131215936996
1283C1170,175.29391552511416,556.1999999999999,115.5,163.3,223.6,311.705,75.77262146653726
1283C1010,176.28785388127855,646.5,116.70000000000002,166.40000000000003,222.32500000000005,311.905,74.84281485523711
1283C1020,153.62294520547948,431.4,107.7,141.60000000000002,192.90000000000003,265.20000000000005,60.332178121332575
1283C1530,205.77383561643836,636.2,140.9,195.9,260.6,349.0049999999999,81.60084380777434
1283C1560,118.6786187214612,501.5,79.6,109.0,149.52500000000003,214.30000000000004,51.73087852795416
1283A0010,183.7900570776256,725.0999999999999,122.275,171.4,232.7,324.1149999999998,78.71814490187879
1283C1030,171.93377853881282,617.0,111.60000000000002,159.8,218.8,316.505,77.29571833809585
1283C1040,204.86833333333337,597.6999999999997,138.60000000000002,192.70000000000005,259.5,352.90000000000003,81.88126011232772
1283C1050,178.9268378995434,586.1999999999999,119.70000000000002,168.55,226.025,317.6149999999998,76.11856899150506
1283C1070,127.81726027397262,685.0999999999999,79.30000000000001,115.8,163.12500000000003,249.6199999999997,65.21026401545781
1283C1060,124.92915525114154,545.1,79.6,113.1,160.40000000000003,238.3,60.8633984069318
1283C1080,170.1855821917808,543.0,112.00000000000003,159.0,215.2,303.19999999999993,73.909154554484
1283C1090,132.29640410958905,587.3000000000001,83.1,119.9,169.8,257.60499999999996,66.21566875737288
1283C1110,176.10906392694065,594.8000000000001,117.75,164.25,223.00000000000003,308.5199999999997,74.59746502336614
1283C1100,150.3298401826484,440.9,104.7,140.5,188.8,261.70000000000005,60.04168286082549
1283C1150,154.98647260273975,592.3000000000001,101.2,143.9,196.40000000000003,287.7,71.16645117553418
1283C1120,153.9077054794521,437.8,104.9,142.10000000000002,195.8,267.9,62.600928175687635
1283C1130,133.91909817351598,745.7,76.2,118.70000000000002,171.2,280.50999999999993,76.0719308826374
1283C1190,179.619600456621,566.1,123.10000000000002,167.30000000000004,229.00000000000006,312.4,72.8207913918398
1283C1210,123.61961187214612,381.30000000000007,83.80000000000001,115.6,156.5,217.80499999999998,50.74823740588112
1283C1200,163.47492009132418,669.5,101.4,149.5,207.1,318.10499999999996,81.93819972413192
1283C1160,201.59375570776257,637.0999999999998,137.1,189.2,254.30000000000004,347.305,81.47322655668766
1283C1140,217.89832191780826,599.1,151.20000000000002,206.40000000000003,273.8,368.5999999999999,84.1780609299492
1283C1340,134.38434931506848,578.5,83.19999999999999,122.8,172.20000000000002,260.90999999999985,67.38126780559497
1283C1250,120.3723401826484,502.2000000000001,73.07499999999999,108.2,153.00000000000003,239.60499999999993,62.777034057260146
1283C1280,99.7118493150685,505.69999999999993,57.4,83.8,129.3,219.0,59.968976595432466
1283C1270,130.46663242009132,431.5999999999999,89.70000000000002,119.9,166.5,229.70999999999984,54.59607491291254
1283C1290,109.7910388127854,489.2000000000001,72.3,100.7,140.9,201.40499999999997,50.29112704405649
1283C1260,131.1900799086758,452.1999999999999,87.60000000000001,120.3,166.30000000000004,235.9,56.40452396752583
1283C1330,102.01963470319635,574.3,61.3,89.9,129.9,211.10499999999993,56.63310995274237
1283C1220,260.3553082191781,632.5,183.15000000000003,246.00000000000006,329.22499999999997,429.8049999999998,94.89341657043703
1283C1320,171.48454337899548,601.5,112.5,160.45000000000002,217.60000000000002,308.305,74.76786692679484
1283C1360,186.13946347031967,602.0999999999999,125.70000000000002,174.55,236.80000000000004,327.0,77.7545203379247
1283C1350,128.76598173515984,582.0,79.6,116.20000000000002,166.0,248.50499999999997,64.78016031385309
1283C1400,170.93559360730595,553.0,115.3,159.25000000000003,217.10000000000002,301.5149999999998,71.65204275013737
1283C1480,178.85041095890412,653.7,116.30000000000004,167.4,226.4,321.0999999999999,78.67187890236644
1283C1470,134.6159246575342,533.5999999999998,86.69999999999999,123.05,170.32500000000005,253.3,63.23504429039569
1283C1520,186.90420091324205,519.8,129.90000000000003,174.40000000000003,236.02500000000006,317.69999999999993,73.11884909267151
1283C1540,101.10615296803653,522.3,61.2,87.6,127.8,210.1,55.942482427470544
1283C1550,100.75737442922374,490.7,57.7,86.55000000000001,130.32500000000002,217.30499999999998,59.78638988157393
1283B3010,225.16068493150686,737.4,156.10000000000002,213.5,283.5,379.6,86.24931475089129
1283C1570,137.23704337899542,514.0,89.7,126.4,174.6,254.50000000000003,63.1535396165148
1283C1580,203.00202054794522,626.5999999999999,138.8,190.95000000000005,257.1,348.205,79.83560653356976
1283C1620,133.26818493150682,489.5,86.30000000000001,122.8,169.8,248.10499999999996,62.562895877143916
1283C1590,218.51549086757993,658.8999999999997,148.375,207.00000000000003,277.975,370.9,86.81927478528252
1283A0020,178.88324200913243,595.2,118.37500000000001,167.3,228.725,318.205,77.09698873413926
1283C1600,145.21487442922376,540.8,94.4,133.90000000000003,185.1,267.905,66.19981561612079
1283C1650,153.23036529680365,593.0,97.60000000000002,141.70000000000005,196.32500000000005,286.2099999999999,72.84360314941105
1283C1630,292.0654680365297,767.8000000000001,206.00000000000006,279.0,368.7250000000001,473.3049999999998,104.07791226504325
1283C1660,187.93670091324205,619.0999999999999,133.15,174.80000000000004,235.2,318.8049999999999,70.58606971554283
1283C1690,212.966598173516,584.1999999999998,152.20000000000002,199.2,267.90000000000003,353.0,77.57718706427609
1283C1680,110.49884703196348,487.3,65.1,97.6,141.40000000000003,231.00499999999997,62.41550808894027
1283C1670,204.72539954337898,556.2999999999998,144.90000000000003,189.3,257.52500000000003,347.7099999999998,76.48833023718764
1283C1700,198.7943378995434,692.7999999999996,134.10000000000002,188.60000000000005,253.2,341.0099999999999,80.51063401595938
1283B4010,159.86312785388128,524.6999999999999,104.70000000000002,148.40000000000003,203.52500000000006,289.805,71.07331865107835
1283A0030,228.15954337899544,572.1999999999998,163.40000000000003,211.6,285.9,380.20499999999987,82.4395388107564
1275A0010,212.01432648401828,632.3999999999999,145.10000000000002,200.4,266.8,362.01499999999976,82.8207491211584
1275C1020,144.7668493150685,547.3,91.3,133.35000000000002,184.4,274.1099999999999,68.63299358410747
1275C1010,181.3781392694064,658.5,118.2,170.2,228.6,332.705,81.42951059091496
1275C1040,180.7813812785388,672.2,120.3,169.55,229.50000000000009,318.80499999999995,76.24383317781566
1275C1030,184.85721461187214,617.8000000000001,123.6,173.60000000000002,234.92500000000004,323.99999999999994,76.78176904412258
1257A0010,205.3148287671233,585.2999999999998,141.4,195.50000000000003,259.125,349.69999999999993,80.72018379640257
1257C1030,186.35542237442922,600.6,123.5,174.60000000000002,235.7,330.70499999999987,78.92411778058369
1257C1020,202.61490867579911,691.7999999999998,136.675,190.8,256.3,352.5,82.9511876275388
1257C1010,173.4364726027397,447.5999999999999,123.0,159.8,216.90000000000003,294.5,64.85802677432767
1257C1040,164.32589041095892,638.4000000000001,108.3,152.20000000000002,206.62500000000003,296.6199999999997,72.34814168458178
1257A0020,294.28447488584476,783.8999999999999,210.10000000000002,279.3,370.225,476.6049999999996,103.42794859839002
1257A0030,235.41300228310504,690.2999999999997,163.30000000000004,223.70000000000005,298.225,391.8099999999999,88.72403594970734
1290A0110,286.36035388127857,739.6999999999998,200.87500000000003,271.75,361.8,468.805,104.64569628725576
1290B6010,177.4136301369863,616.2,116.875,167.00000000000003,224.60000000000005,314.5099999999999,75.70316500636564
1290B8010,137.2345205479452,598.8999999999999,86.60000000000001,125.9,175.00000000000003,263.1099999999999,66.41148882393881
1290A0010,131.46110730593608,410.4,90.6,121.80000000000001,166.70000000000002,229.8,53.192810259271084
1290B7010,161.31570776255705,450.50000000000006,111.7,150.85000000000002,203.9000000000001,276.5,63.51981787779109
1290A0020,193.88737442922374,513.7999999999998,134.8,179.20000000000005,245.85000000000002,328.20499999999987,74.36221482344439
1290B2010,302.47030821917804,845.8999999999996,214.6,286.75,380.3999999999999,493.30499999999995,107.455750394573
1290B2020,154.19898401826484,657.0999999999998,97.5,141.8,197.00000000000006,293.60499999999996,74.51424548438416
1290B2030,205.36674657534246,660.4999999999998,140.80000000000004,194.25,259.725,347.405,81.37308225811823
