,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1293B2030,61,1293,Hässleholm,822,Lågpendlingskommun nära större stad,31,6,1634,415506,6226559,10683.17614,4695864.135,237.96632420091325,560.7999999999997,173.10000000000002,221.75000000000006,296.79999999999995,390.0049999999998,83.01128665582016
1293C1130,62,1293,Hässleholm,841,Lågpendlingskommun nära större stad,31,6,1653,424130,6226656,8074.879582,2172592.145,235.76342465753424,590.0999999999998,173.60000000000002,218.10000000000002,290.90000000000003,385.5999999999999,80.04838879458067
1293C1120,63,1293,Hässleholm,928,Lågpendlingskommun nära större stad,31,6,2239,424130,6226656,16663.63832,6304617.336,263.11634703196347,631.0999999999998,191.90000000000003,243.35000000000005,327.325,428.3049999999998,89.72791414805657
1293C1070,64,1293,Hässleholm,1181,Lågpendlingskommun nära större stad,31,6,2191,415506,6226559,22349.04856,17429678.68,328.3490296803652,766.0999999999995,241.40000000000003,299.45,406.99999999999983,539.5999999999996,111.30879423230837
1293C1080,65,1293,Hässleholm,791,Lågpendlingskommun nära större stad,31,6,1460,424130,6226656,24762.20873,14420274.5,227.31770547945206,590.3999999999999,163.20000000000002,212.00000000000006,284.9,371.3,79.64963799066996
1293A0020,66,1293,Hässleholm,1057,Lågpendlingskommun nära större stad,31,6,1618,415506,6226559,96310.16251,199249262.3,297.49123287671233,654.5999999999998,217.70000000000007,275.80000000000007,369.825,480.29999999999984,99.3775592680245
1284C1060,67,1284,Höganäs,986,Pendlingskommun nära större stad,25,3,2375,350848,6229734,10286.15148,4364460.001,241.1939497716895,634.5,170.10000000000005,227.40000000000003,304.3,399.60499999999996,88.37454655856048
1284C1070,68,1284,Höganäs,1036,Pendlingskommun nära större stad,25,3,2222,350848,6229734,13805.27513,6291504.313,244.78929223744294,596.0,176.60000000000002,226.95000000000005,307.04999999999995,405.2049999999997,87.46563816714195
1284C1080,69,1284,Höganäs,766,Pendlingskommun nära större stad,25,3,1969,350848,6229734,2977.526775,501038.1765,179.5603196347032,526.3,126.4,167.10000000000002,225.50000000000003,303.9,68.0026498673641
1284C1090,70,1284,Höganäs,913,Pendlingskommun nära större stad,25,3,2078,350848,6229734,6449.478215,1733130.846,206.09343607305937,454.9999999999998,147.9,189.30000000000004,255.5250000000001,349.29999999999995,74.86146059262543
1284C1110,71,1284,Höganäs,728,Pendlingskommun nära större stad,25,3,1410,350848,6229734,11258.8781,6598226.036,172.42720319634705,483.0,119.9,159.8,217.30000000000004,295.4049999999999,66.80527073277908
1284C1100,72,1284,Höganäs,893,Pendlingskommun nära större stad,25,3,1913,350848,6229734,13799.53449,7473424.956,211.91963470319638,562.4,149.97500000000002,198.8,265.02500000000003,351.9999999999999,77.09162865055671
1284B2010,73,1284,Höganäs,526,Pendlingskommun nära större stad,25,3,1006,350848,6229734,7965.24823,2850033.235,125.18377853881277,397.1,86.7,116.0,157.00000000000003,219.6199999999997,51.84980698965776
1284A0010,74,1284,Höganäs,1066,Pendlingskommun nära större stad,25,3,1687,350848,6229734,54334.19502,52617118.59,246.24666666666664,589.0999999999997,177.77500000000003,228.6,308.625,404.8299999999996,85.95784819328432
1284C1120,75,1284,Höganäs,1041,Pendlingskommun nära större stad,25,3,1910,350848,6229734,11312.64396,7583939.651,244.68878995433792,692.4,176.80000000000004,229.20000000000005,304.49999999999994,402.19999999999993,86.73288941652322
1284A0030,76,1284,Höganäs,522,Pendlingskommun nära större stad,25,3,761,350848,6229734,21983.38814,25802575.54,138.01905251141554,519.5999999999999,90.4,127.0,175.725,255.7099999999999,63.62927330838495
1284B2020,77,1284,Höganäs,800,Pendlingskommun nära större stad,25,3,1322,350848,6229734,14486.83208,7182515.764,190.4671803652968,685.0,134.3,177.5,239.2,320.19999999999993,72.0166680627638
1284A0020,78,1284,Höganäs,953,Pendlingskommun nära större stad,25,3,1510,350848,6229734,44375.40854,52411493.9,232.32560502283107,593.6999999999999,163.40000000000003,217.8,291.6,386.10499999999996,85.41303252292556
1284C1010,79,1284,Höganäs,663,Pendlingskommun nära större stad,25,3,1274,350848,6229734,7726.768028,2574671.399,156.01155251141552,467.4,108.9,145.8,195.8,265.30000000000007,59.80005759088958
1284C1020,80,1284,Höganäs,1135,Pendlingskommun nära större stad,25,3,2454,350848,6229734,7608.66501,2855056.961,267.0418721461187,602.4999999999998,191.1,248.70000000000005,334.29999999999995,439.3049999999998,94.96585841413469
1284C1030,81,1284,Höganäs,752,Pendlingskommun nära större stad,25,3,1416,350848,6229734,8141.007748,3756679.627,195.77874429223746,596.4,133.2,184.6,247.72500000000005,336.1149999999998,78.76249492292204
1284C1040,82,1284,Höganäs,562,Pendlingskommun nära större stad,25,3,1150,350848,6229734,5454.981278,1305308.08,150.38300228310504,551.1,98.1,138.50000000000003,190.10000000000005,273.705,67.68982409994231
1284C1050,83,1284,Höganäs,809,Pendlingskommun nära större stad,25,3,1646,350848,6229734,5335.929902,1252212.368,207.49097031963473,663.5999999999998,144.30000000000004,197.25,261.0,350.2149999999998,80.27498540549965
1276B3010,84,1276,Klippan,1166,Pendlingskommun nära större stad,25,3,1999,385246,6220091,17428.14452,12344716.97,289.92554794520544,787.1999999999995,206.6,275.75,361.6,472.0999999999999,102.51404953980953
1276A0030,85,1276,Klippan,911,Pendlingskommun nära större stad,25,3,1414,385246,6220091,91884.8063,118003621.4,230.30170091324203,704.5,159.60000000000002,218.10000000000005,289.5,386.9999999999999,87.3317570270893
1276B2010,86,1276,Klippan,1299,Pendlingskommun nära större stad,25,3,2341,385246,6220091,15294.16233,13294869.61,320.17438356164377,842.8999999999999,229.25000000000003,303.70000000000005,401.225,518.1999999999998,111.2013980556027
1276A0020,87,1276,Klippan,628,Pendlingskommun nära större stad,25,3,961,385246,6220091,38605.07529,46547358.97,209.53463470319636,790.8000000000001,133.0,195.05,265.20000000000005,396.62499999999966,100.36723010108021
1276A0010,88,1276,Klippan,1121,Pendlingskommun nära större stad,25,3,1663,399357,6222747,81540.81118,171131371.4,288.3364611872146,775.3,203.20000000000005,275.70000000000005,361.7250000000001,469.9149999999997,104.10858568452323
