,mean,max,25%,50%,75%,95%,std
1283C1370,154.93254566210047,774.6,53.9,128.4,236.30000000000004,373.90499999999986,116.21450786476721
1283C1500,146.7203767123288,733.1999999999996,50.150000000000006,122.5,222.875,355.01499999999976,111.41187001635322
1283C1490,161.347100456621,709.1999999999998,54.6,130.60000000000002,249.32500000000005,389.4049999999999,122.8817320217257
1283C1610,230.20511415525112,883.0999999999997,85.0,188.0,349.42499999999995,546.3049999999996,168.23813671784887
1283B2010,200.22673515981734,776.6999999999999,71.875,163.35000000000002,307.225,477.10499999999973,147.97974656402434
1283C1310,126.8864383561644,631.5,40.3,102.45,192.9,311.7349999999995,99.17088033278577
1283C1300,186.8937785388128,849.9999999999997,65.69999999999999,152.60000000000002,288.6,440.3999999999999,138.4518460725303
1283C1640,173.77486301369865,798.0,60.8,144.25000000000003,268.6,410.90499999999975,128.84715238351848
1283C1420,129.77406392694067,664.2,43.4,105.5,200.02500000000006,313.40999999999985,99.99005687941494
1283C1430,182.82220319634706,787.2999999999997,63.275,155.70000000000002,278.30000000000007,430.41499999999985,135.48970650047647
1283B5010,136.5243493150685,590.2999999999998,46.4,110.9,208.45000000000002,332.7,105.09915707745452
1283B2020,268.4684931506849,940.5999999999996,98.1,222.10000000000002,408.79999999999995,631.2049999999995,194.25613890842382
1283B2030,166.67961187214613,746.1999999999996,60.7,130.85000000000002,254.80000000000007,407.3999999999999,125.83359846951899
1283C1170,175.3229680365297,706.6999999999995,62.1,144.15,267.725,416.5049999999997,130.19026818379024
1283C1010,175.7765296803653,706.9999999999995,61.2,144.95000000000002,270.50000000000006,419.70499999999976,130.84090467149576
1283C1020,152.7297602739726,638.2999999999998,54.1,119.5,235.2,375.2099999999998,116.50949052651788
1283C1530,204.23211187214613,881.4999999999998,72.69999999999999,165.55,312.625,486.61499999999967,151.2373788242078
1283C1560,117.52691780821918,541.4,39.8,93.6,180.82500000000005,290.99999999999994,91.49910450625069
1283A0010,184.44744292237442,724.0999999999997,64.8,152.4,284.125,436.3049999999998,135.8542247933102
1283C1030,171.24199771689499,725.0,57.8,141.8,262.62500000000006,410.3999999999998,128.8930253554352
1283C1040,205.8285502283105,792.4999999999997,71.80000000000001,170.70000000000002,314.70000000000005,491.00499999999977,153.21252008623742
1283C1050,180.31700913242008,797.3999999999996,63.8,150.35,275.92500000000007,421.6149999999998,132.7384667685608
1283C1070,127.88416666666667,561.5,42.9,104.75,194.1,316.5099999999999,99.81851181088066
