OBJECTID;uuid;deso;kommun;lan;kommunnamn;lannamn;version;Field1;key_0;Deso_1;Station;Boende_totalt_Antal;Antal_Bilar;Bilar_småhus;Bilar_flerbostadshus;Antal_personer_i_småhus;Antal_personer_i_flerbostadshus;Laddpunkter;Kommungrupp_2023;Travel__km_;Travel___;Shape_Length;Shape_Area;max_aadtfordon;sum_Length_KILOMETERS;Polyline_Count;CITY
60;{C0C577AD-65B0-4E41-95B6-3EE5DAE55858};1278C1010;1278;12;Båstad;Skåne;2018_v2;249;Båstad;1278C1010;GREVIE;2068;1094;809;285;1561;374;65;Landsbygdskommun med besöksnäring;28;9;21533.51202;14851119.91;8581;14.85100603;27;No
61;{259AAD4D-C1F6-44A2-B8B8-F2E913E75760};1278C1030;1278;12;Båstad;Skåne;2018_v2;250;Båstad;1278C1030;GREVIE;3054;1634;1307;327;2405;523;98;Landsbygdskommun med besöksnäring;28;9;23979.68139;18077359.54;9800;27.60582934;72;No
62;{D9B90161-FA06-430D-983B-8DEA5813389F};1273A0020;1273;12;Osby;Skåne;2018_v2;241;Osby;1273A0020;BJÄRNUM_V;1208;816;756;60;1199;0;48;Pendlingskommun nära mindre tätort;33;5;129973.6792;230726001.6;5939;109.9969645;69;No
63;{3D702C02-9B94-4B75-89F3-28C18F17453E};1273A0010;1273;12;Osby;Skåne;2018_v2;242;Osby;1273A0010;ARKELSTORP;864;619;556;63;859;0;37;Pendlingskommun nära mindre tätort;33;5;112625.8224;225557978.6;1627;89.04560755;30;No
64;{8B3C8D42-E4DE-41B6-9D08-7B5A974A2A9C};1278A0020;1278;12;Båstad;Skåne;2018_v2;251;Båstad;1278A0020;GREVIE;2001;1244;1053;191;1818;60;74;Landsbygdskommun med besöksnäring;28;9;49762.14931;78090990.68;3334;63.11794996;44;No
65;{76E1FC98-86A2-4530-903A-86E5D1449C6A};1273C1020;1273;12;Osby;Skåne;2018_v2;243;Osby;1273C1020;BJÄRNUM_V;1495;768;716;52;1459;22;46;Pendlingskommun nära mindre tätort;33;5;9976.262769;3949359.464;17;1.101057832;1;No
66;{DC0ECBF1-E6BA-4C99-AB4A-B4C92BBCAE71};1278B2020;1278;12;Båstad;Skåne;2018_v2;252;Båstad;1278B2020;GREVIE;1064;524;419;105;818;237;31;Landsbygdskommun med besöksnäring;28;9;9567.530247;3577096.948;4825;9.594370637;25;No
67;{48C5C9E3-C6DB-4E30-AEF3-6AED162FEA69};1278B2010;1278;12;Båstad;Skåne;2018_v2;253;Båstad;1278B2010;GREVIE;1497;723;619;104;1266;141;43;Landsbygdskommun med besöksnäring;28;9;13483.05089;6192551.429;3091;5.519966518;12;No
68;{1E697283-4604-4AF2-8A26-5DE58CEE5D74};1292A0040;1292;12;Ängelholm;Skåne;2018_v2;28;Ängelholm;1292A0040;ÄNGELHO;1805;1195;1128;67;1771;0;71;Pendlingskommun nära större stad;25;3;77389.00945;83920247.62;10675;66.59087723;69;No
69;{A6DA41E4-9016-4D24-BC32-7C15148E77F6};1273C1030;1273;12;Osby;Skåne;2018_v2;244;Osby;1273C1030;BJÄRNUM_V;1465;645;438;207;927;397;38;Pendlingskommun nära mindre tätort;33;5;10724.63278;6267413.738;5939;5.066781917;13;No
70;{AE6F35FF-8EDD-4860-81A7-D723E83CAB21};1273C1040;1273;12;Osby;Skåne;2018_v2;245;Osby;1273C1040;BJÄRNUM_V;1711;747;415;332;821;840;44;Pendlingskommun nära mindre tätort;33;5;10950.36387;4995620.434;4003;3.82783258;5;No
71;{9BCD8AF8-39CD-4EE5-8E46-D26AE3550100};1273C1050;1273;12;Osby;Skåne;2018_v2;246;Osby;1273C1050;BJÄRNUM_V;1659;758;405;353;855;691;45;Pendlingskommun nära mindre tätort;33;5;10887.88547;3970308.61;36;2.035777115;2;No
72;{D91E96FF-7C2D-46D9-BBDA-E7DFFFD31213};1273B2010;1273;12;Osby;Skåne;2018_v2;247;Osby;1273B2010;ARKELSTORP;1958;976;663;313;1360;519;58;Pendlingskommun nära mindre tätort;33;5;13302.24872;10636289.82;4840;13.94949491;24;No
73;{2B06CA09-8DC8-477E-9135-247C02D87799};1278B2030;1278;12;Båstad;Skåne;2018_v2;254;Båstad;1278B2030;GREVIE;1164;621;517;104;983;144;37;Landsbygdskommun med besöksnäring;28;9;16432.37582;12525966.6;5198;17.000563;34;No
74;{CF35CB39-4BAA-4ECC-BE73-A606897A05F1};1257A0020;1257;12;Örkelljunga;Skåne;2018_v2;191;Örkelljunga;1257A0020;FAGERHULT;1832;1184;1024;160;1706;85;71;Pendlingskommun nära större stad;25;3;65539.39878;100337374.4;3312;51.8995954;25;No
75;{A1A44B15-3F87-4339-B563-C843CEC390C7};1293A0080;1293;12;Hässleholm;Skåne;2018_v2;43;Hässleholm;1293A0080;FAGERHULT;1218;851;747;104;1172;30;51;Lågpendlingskommun nära större stad;31;6;103678.503;219266346.9;3664;99.82522967;54;No
76;{35CA0C56-7135-4E8D-AC55-E0B8755174E9};1257A0030;1257;12;Örkelljunga;Skåne;2018_v2;192;Örkelljunga;1257A0030;FAGERHULT;1638;938;767;171;1401;181;56;Pendlingskommun nära större stad;25;3;61722.00072;110973337.5;6093;81.1330949;49;No
77;{28B02668-FBBE-4DDE-A1FA-C127F3FBB8BD};1278A0010;1278;12;Båstad;Skåne;2018_v2;255;Båstad;1278A0010;GREVIE;1673;1106;1001;105;1629;0;66;Landsbygdskommun med besöksnäring;28;9;84967.91152;98172776.9;11200;60.87945102;74;No
