deso,Final Probability
1290A0050,0.0006946656623785947
1290C1090,0.002611007136144458
1290C1130,0.0013606089438629875
1290C1080,0.0015261804602457727
1283C1050,0.0011435354578855632
1283C1070,0.0017316841103710756
1283C1060,0.0006990652115736591
1290C1120,0.0013606089438629875
1214A0040,0.00038854966049042735
1283C1080,0.0036229113761967998
1283C1090,0.0017316841103710756
1290C1140,0.0013606089438629875
1283C1110,0.0022501362497263
1290A0070,0.0006830879013389515
1283C1100,0.0037305845538654825
1290C1110,0.000485108187561052
1283C1150,0.002289963747702673
1283C1120,0.0017316841103710756
1290C1170,0.0013606089438629875
1260B2010,0.0005583954149419937
1290C1150,0.0013606089438629875
1283C1130,0.0017316841103710756
1260A0010,0.00013580713699501526
1290B4010,0.001029378734034681
1283C1190,0.001794667130426735
1293B5010,0.0008362616798934316
1283C1210,0.0033457397769077403
1283C1200,0.0034152063431456
1290C1200,0.0013606089438629875
1283C1160,0.0007379664886668605
1283C1140,0.0003637732518655908
1283C1340,0.0
1290C1180,0.0018179305049288957
1283C1250,0.0017316841103710756
1283C1280,0.0017316841103710756
1290C1220,0.0
1283C1270,0.0017316841103710756
1283C1290,0.0017316841103710756
1283C1260,0.0017316841103710756
1290C1210,0.0005788880519821622
1283C1330,0.0017316841103710756
1283C1220,0.0017316841103710756
1283C1320,0.0017316841103710756
1283C1360,0.0017316841103710756
1283C1350,0.0017316841103710756
1283C1400,0.0017316841103710756
1290C1190,0.0013606089438629875
1290C1230,0.0003241773091100109
1260A0020,0.0008103274951646308
1283C1480,0.0017316841103710756
1283C1470,0.0017316841103710756
1283C1520,0.0017316841103710756
1283C1540,0.0017316841103710756
1272C1020,0.0006474283973368503
1283C1550,0.0017316841103710756
1283B3010,0.000465310216183262
1283C1570,0.0017316841103710756
1290B5010,0.0006900345579627375
1272C1030,0.0005566587507860473
1267A0020,0.0005280616810181284
1283C1580,0.0017316841103710756
1260C1010,0.0008103274951646308
1214A0030,0.00023861765502704727
1276B2010,0.00032834530308428246
1283C1620,0.0
1272C1040,0.0
1283C1590,0.0017316841103710756
1260A0030,0.00030669488994014956
1276A0020,0.0009782050302394579
1276A0010,0.00038854966049042735
1283A0020,0.0025746624999958647
1290A0080,0.0008096328295022522
1283C1600,0.002690092777561108
1293B3020,0.00026165739949593735
1260C1020,2.9639068261486706e-05
1283C1650,0.0
1293B3010,0.0015027933829456933
1293A0010,0.000936756645717535
1260C1030,0.0007050856473142736
1283C1630,0.0012104549166947014
1283C1660,0.0019689140424017306
1293B3030,0.00023572321476713647
1283C1690,0.0
1283C1680,0.00017598196780257733
1283C1670,0.00047109909670308363
1293B8010,0.0003935280977374739
1260C1040,0.00044713313135102213
1283C1700,0.00178297520010506
1275C1020,0.0006926974430018553
1277C1040,0.0
1276C1010,0.0007157371874707453
1293C1020,0.0013606089438629875
1277B3010,0.0007243047306400814
1276C1050,0.0003880865500488416
1276C1020,0.0005759936117222514
1277B2010,0.001160323211393046
1277C1020,0.001177689852952511
1276C1030,0.0
1277C1050,0.00012179804613704694
1290A0090,0.0008681005227524505
1275C1010,0.0008295465784904386
1277C1010,0.0005515645359286043
1277C1030,0.0007736259926689616
1293C1010,0.0013606089438629875
1293C1030,0.0013606089438629875
1293C1050,0.0013606089438629875
1276C1040,3.276506374219038e-05
1292C1070,0.0013606089438629875
1275C1040,1.7713974390654166e-05
1293C1060,0.0013606089438629875
1283B4010,0.0004017483080756206
1275C1030,1.7250863949068433e-05
1293C1040,0.0013606089438629875
1277C1070,0.0009251788846778916
1293B2010,0.0005183363617448281
1293C1090,0.0013606089438629875
1277C1060,0.0002872442513935489
1290A0100,0.0004840661890674841
1293B2020,0.0011178328283775554
1256B5010,0.0009026022506505874
1293C1110,0.0013606089438629875
1293C1100,0.0013606089438629875
1283A0030,0.0007615851211877327
1293B2030,0.0005274827929661462
1293C1130,0.0013930266747739885
1293C1120,0.002204511946042584
1293C1070,0.000554458976188515
1284C1020,0.0005920866995673556
1293C1080,0.0007753626568249082
1284C1030,0.00045685845062432245
1293A0020,0.00034478572376057584
1272B2010,0.000404526970725135
1284C1040,0.002046359730241057
1277A0010,0.000502243273899724
1284C1050,0.001795585426122384
1292B4010,0.002051810811445576
